Title,Owner,PageURL,AssetURL,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
"All-mode traffic data from 48-hour surveys across Scotland in May 2018",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/6ecbae85-3827-45ea-968a-d97939bf7f7e,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=093651c1-b4c8-4cc1-8343-7e91937c3e00,2020-07-20T08:51:08.163Z,2021-08-17T14:33:32.552Z,,,json,,"Transport / Mobility","Active Travel, Cycling Scotland",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in May 2018",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/6ecbae85-3827-45ea-968a-d97939bf7f7e,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=42d30410-5949-4fb4-b770-7b83f27ca117,2020-07-20T08:51:08.163Z,2021-08-17T14:33:32.552Z,,,csv,,"Transport / Mobility","Active Travel, Cycling Scotland",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in May 2018",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/6ecbae85-3827-45ea-968a-d97939bf7f7e,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=2fbdb32d-7b03-472a-ac75-d8984e476de8,2020-07-20T08:51:08.163Z,2021-08-17T14:33:32.552Z,,,xml,,"Transport / Mobility","Active Travel, Cycling Scotland",OGL3,
"Anonymised trip data from Just Eat Cycles in Edinburgh from its inception in September 2018 to its discontinuation in September 2021",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/8550147c-9ce2-4382-929d-3b4ab43e554f,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/80324843-fa22-4e40-92b4-4a97f0b0be2c/2/urql,2021-01-28T09:02:11.656Z,2021-10-13T12:51:23.678Z,,,json,,"Infrastructure, Transport / Mobility","Active Travel",OGL3,
"Anonymised trip data from Just Eat Cycles in Edinburgh from its inception in September 2018 to its discontinuation in September 2021",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/8550147c-9ce2-4382-929d-3b4ab43e554f,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=5872e566-d5ac-4059-a38b-e2ae4a228fae,2021-01-28T09:02:11.656Z,2021-10-13T12:51:23.678Z,,,xml,,"Infrastructure, Transport / Mobility","Active Travel",OGL3,
"Anonymised trip data from Just Eat Cycles in Edinburgh from its inception in September 2018 to its discontinuation in September 2021",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/8550147c-9ce2-4382-929d-3b4ab43e554f,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=f8a61a46-1ebd-45f0-9892-da341631260c,2021-01-28T09:02:11.656Z,2021-10-13T12:51:23.678Z,,,csv,,"Infrastructure, Transport / Mobility","Active Travel",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland - all data from 2017 to 2021",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/b9fdd462-1f45-4252-aedc-fbc596abcd90,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=f5a0eaf1-deab-46bf-8776-42ad3beb9b46,2021-08-11T09:14:20.746Z,2021-08-17T14:47:34.621Z,,,csv,,"Transport / Mobility","Traffic counts, National Monitoring Framework, Cycling Scotland",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland - all data from 2017 to 2021",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/b9fdd462-1f45-4252-aedc-fbc596abcd90,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/12da6df6-7b38-4907-8f00-76a6c260b197/9/urql,2021-08-11T09:14:20.746Z,2021-08-17T14:47:34.621Z,,,json,,"Transport / Mobility","Traffic counts, National Monitoring Framework, Cycling Scotland",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland - all data from 2017 to 2021",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/b9fdd462-1f45-4252-aedc-fbc596abcd90,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=8fd87d6a-8a2c-49ee-906a-000b36699abd,2021-08-11T09:14:20.746Z,2021-08-17T14:47:34.621Z,,,xml,,"Transport / Mobility","Traffic counts, National Monitoring Framework, Cycling Scotland",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in May 2019",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/a5c396fb-6da0-420d-9732-459d5d717264,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=cd8d4580-827e-473a-ac43-b1bff21e4802,2020-06-23T13:45:58.596Z,2021-08-17T14:38:04.209Z,,,json,,"Transport / Mobility","Cycling Scotland, Data, National Monitoring Framework",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in May 2019",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/a5c396fb-6da0-420d-9732-459d5d717264,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=db36ee3c-89ea-45bd-9c36-a5baea139830,2020-06-23T13:45:58.596Z,2021-08-17T14:38:04.209Z,,,csv,,"Transport / Mobility","Cycling Scotland, Data, National Monitoring Framework",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in May 2019",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/a5c396fb-6da0-420d-9732-459d5d717264,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=31cc3c72-9b5c-444f-a5fb-2d509a2571b8,2020-06-23T13:45:58.596Z,2021-08-17T14:38:04.209Z,,,xml,,"Transport / Mobility","Cycling Scotland, Data, National Monitoring Framework",OGL3,
"-	All organisations listed provide bike repair services 
-	All organisations listed have appropriate public liability insurance in place",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/a0f61e40-cdff-4f2c-85e6-5245d1980b9b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=0473e05d-8f43-4b5f-9694-c307b79178ab,2021-04-08T15:10:01.596Z,2021-04-23T07:24:04.000Z,,,json,,"Transport / Mobility","Active Travel, Transport and Travel in Scotland",OGL3,
"-	All organisations listed provide bike repair services 
-	All organisations listed have appropriate public liability insurance in place",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/a0f61e40-cdff-4f2c-85e6-5245d1980b9b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=0e015863-3700-4c04-954a-79c74dc7f6b9,2021-04-08T15:10:01.596Z,2021-04-23T07:24:04.000Z,,,xml,,"Transport / Mobility","Active Travel, Transport and Travel in Scotland",OGL3,
"-	All organisations listed provide bike repair services 
-	All organisations listed have appropriate public liability insurance in place",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/a0f61e40-cdff-4f2c-85e6-5245d1980b9b,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=b9a4e147-2393-4cf4-a1c6-1228053cbc76,2021-04-08T15:10:01.596Z,2021-04-23T07:24:04.000Z,,,csv,,"Transport / Mobility","Active Travel, Transport and Travel in Scotland",OGL3,
"Data from Transport and Travel in Scotland and the Scottish Household Survey relating to the number of bikes available for private use by Local Authority in 2018.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/e37ae792-6b5c-4a3f-9008-f550cac033fb,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=66c2ca92-773a-40d0-bb28-0423e73fc59a,2019-11-26T15:08:45.181Z,2021-09-14T16:43:47.313Z,,,csv,,"Transport / Mobility","Active Travel, Government, Scottish Household Survey",https://creativecommons.org/licenses/by/4.0/legalcode,
"All figures, unless otherwise stated, are from YouGov Plc.  Total sample size was 2035 adults. Fieldwork was undertaken between 14th - 22nd May 2020.  The survey was carried out online. The figures have been weighted and are representative of all Scotland adults (aged 18+).",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/bdd7303d-650f-499e-92ff-c3fd4e70dc1d,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=e94ed0c1-f963-4e21-afc4-75ac1badb18b,2020-06-22T08:39:30.001Z,2020-06-22T15:57:39.652Z,,,vnd.openxmlformats-officedocument.spreadsheetml.sheet,,"Transport / Mobility","Cycling Scotland, Coronavirus, Data, Cycling",OGL3,
"This dataset shows the number of vehicles at a particular traffic count location for a particular year.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/25db9595-479e-451b-b1ec-6f9a8c5e6dcb,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/207bc8d3-ef23-406b-91c8-adc12e5a9dae/1/urql,2019-11-01T15:43:40.911Z,2019-12-20T12:26:28.730Z,,,json,,"Transport / Mobility","Transport, Traffic counts",OGL3,
"A real-time daily upload from each cycling counter within The Highland Council's network.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/da632de6-499b-427d-a15d-94c75d381249,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/c762c71a-7366-44ba-8828-90f473295f44/1/urql,2021-09-25T13:18:13.257Z,2021-11-16T15:41:17.108Z,,,json,,"Transport / Mobility","Traffic counts, Cycling, Active Travel",OGL3,
"A real-time daily upload from each cycling counter within Glasgow City Council's network.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/af7fedef-7a7a-413f-a5c9-46b8eeeabeda,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/657f6f93-932b-4851-ae21-830b321c185d/1/urql,2021-03-25T16:21:15.609Z,2022-02-17T14:48:37.250Z,,,json,,"Transport / Mobility","Traffic counts, Cycling, Active Travel",OGL3,
"Glasgow City Council's raw data files for January to March 2019.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/5e0304e7-bd04-4c70-be63-b1865fe9a8e8,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=c3e8b496-290b-4f9e-b040-8acbaad84e00,2019-06-20T13:28:53.883Z,2021-01-13T17:04:08.847Z,,,vnd.ms-excel,,"Infrastructure, Transport / Mobility","Cycling, Transport and Travel in Scotland",OGL3,
"Glasgow City Council's raw data files for January to March 2019.",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/5e0304e7-bd04-4c70-be63-b1865fe9a8e8,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/additionalDocumentation/e6b0978b-db1a-44f3-9f44-88a75181b7bf/Automatic Cycle Counter Locations City Centre Cordon.pdf,2019-06-20T13:28:53.883Z,2021-01-13T17:04:08.847Z,,,pdf,,"Infrastructure, Transport / Mobility","Cycling, Transport and Travel in Scotland",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in September 2020",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/f1e8a739-ee14-4742-a7de-45d1ab6cb8aa,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=c940b83f-9a3c-4bfe-9789-83a5c2cabc18,2020-12-17T10:47:51.797Z,2021-08-17T14:43:40.494Z,,,csv,,"Transport / Mobility","Cycling Scotland, Data, National Monitoring Framework",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in September 2020",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/f1e8a739-ee14-4742-a7de-45d1ab6cb8aa,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=d9d8e21d-cb72-4290-a397-d23cea3361fa,2020-12-17T10:47:51.797Z,2021-08-17T14:43:40.494Z,,,json,,"Transport / Mobility","Cycling Scotland, Data, National Monitoring Framework",OGL3,
"All-mode traffic data from 48-hour surveys across Scotland in September 2020",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/f1e8a739-ee14-4742-a7de-45d1ab6cb8aa,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=f2e3ad90-7257-41aa-b0ba-78eb00459295,2020-12-17T10:47:51.797Z,2021-08-17T14:43:40.494Z,,,xml,,"Transport / Mobility","Cycling Scotland, Data, National Monitoring Framework",OGL3,
"This dataset holds the locations for all of Cycling Scotland's all-mode traffic counts across Scotland, including the dates the counts were undertaken",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/68ab155b-875f-43e7-9c4c-c954ad094dfc,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/9dab7bac-c9ca-4c4f-9daa-d2617b328017/1/urql,2019-10-29T14:22:23.676Z,2020-04-20T13:08:45.778Z,,,json,,"Transport / Mobility","Active Travel, Cycling, Cycling Scotland, National Monitoring Framework",https://creativecommons.org/licenses/by/4.0/legalcode,
"This dataset holds the locations for all of Cycling Scotland's all-mode traffic counts across Scotland, including the dates the counts were undertaken",Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/68ab155b-875f-43e7-9c4c-c954ad094dfc,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=fd716c64-9be6-431b-843d-ba1d1bd3f393,2019-10-29T14:22:23.676Z,2020-04-20T13:08:45.778Z,,,csv,,"Transport / Mobility","Active Travel, Cycling, Cycling Scotland, National Monitoring Framework",https://creativecommons.org/licenses/by/4.0/legalcode,
