Title,Owner,PageURL,AssetURL,FileName,DateCreated,DateUpdated,FileSize,FileSizeUnit,FileType,NumRecords,OriginalTags,ManualTags,License,Description
Aberdeenshire Council - Hourly cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/be55e07e-234e-4506-b478-b614097c355e,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/4373c5be-42a7-4dd3-8062-9f8b16a4d3f1/1/urql,API,2021-10-23T14:34:32.003Z,2023-11-21T19:00:14.808Z,,,json,,Transport / Mobility,Traffic counts Active Travel Cycling,OGL3,"""A real-time hourly upload from each cycling counter within Aberdeenshire Council's network."""
South Ayrshire Council - Daily cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/da45239d-666e-40fb-93ee-3ca411c49146,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/3ab8e1e7-87cb-4674-98e6-2f8b0c6fa7ac/1/urql,API,2022-01-26T20:45:06.777Z,2023-11-02T07:00:16.796Z,,,json,,Transport / Mobility,Traffic counts Cycling Active Travel,OGL3,"""A real-time daily upload from each cycling counter within South Ayrshire Council's network."""
John Muir Way - Hourly cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/e318582c-569a-4734-8304-5bf7df9f0db8,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/dfa2e487-eeda-460a-aaf3-03f4b73893b4/1/urql,API,2021-07-29T17:34:56.704Z,2023-11-21T19:00:14.824Z,,,json,,Transport / Mobility,Active Travel Traffic counts Cycling,OGL3,"""A real-time hourly upload from each cycling counter within John Muir Way's cycle network."""
National Monitoring Framework - daily data from automatic cycling counters - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/dd0703b8-4055-400d-9faf-868c34d7574a,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/5421f510-69b1-4deb-a319-135289598388/1/urql,API,2021-03-24T20:37:54.077Z,2023-11-21T19:00:14.962Z,,,json,,Transport / Mobility,Active Travel National Monitoring Framework Cycling Cycling Scotland,OGL3,"""This data set is a real-time daily upload from each cycling counter across Scotland that is part of the National Monitoring Framework."""
South Lanarkshire Council - Daily cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/aa516804-3c9a-459b-a28c-75e80ef39e0f,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/1751a710-7f65-4fde-ad6a-9fb1ba3d19bf/1/urql,API,2021-08-17T23:07:23.270Z,2023-11-21T19:00:14.909Z,,,json,,Transport / Mobility,Cycling Active Travel Traffic counts,OGL3,"""A real-time daily upload from each cycling counter within South Lanarkshire Council's network."""
East Ayrshire Council - Daily cycling counts from automatic cycling counters,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/4469c4a8-51f0-4e53-8ee9-681b68403d41,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/419c8ce9-9297-4b38-9cbd-341f0611b209/1/urql,API,2022-01-26T20:46:39.236Z,2023-09-12T15:31:14.779Z,,,json,,Transport / Mobility,Active Travel Cycling Traffic counts,OGL3,"""A real-time daily upload from each cycling counter within East Ayrshire Council's network."""
National Monitoring Framework - Daily walking data - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/8135ec48-55e4-4a30-8467-d7c5d701ddb4,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/93c2094a-5e18-480f-9bc3-ec18d6c17468/1/urql,API,2023-04-25T20:29:14.657Z,2023-11-22T12:00:14.537Z,,,json,,Transport / Mobility,Counter Traffic counts Transport Active Travel Walking,OGL3,"""A real-time daily upload from each pedestrian counter within Cycling Scotland's network."""
South Lanarkshire Council - Daily walking data,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/38b3b7cb-f539-48ca-aedc-6d17e35d26b2,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/6ce469fc-e742-48e0-90a4-253a4f3f0760/1/urql,API,2023-04-26T14:10:19.001Z,2023-11-21T19:00:14.912Z,,,json,,Transport / Mobility,Counter Transport Active Travel Traffic counts Walking,OGL3,"""A real-time daily upload from each pedestrian counter within South Lanarkshire Council's network."""
National Monitoring Framework - all-mode traffic survey results 2017 to 2023 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/b9fdd462-1f45-4252-aedc-fbc596abcd90,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/12da6df6-7b38-4907-8f00-76a6c260b197/20/urql,API,2021-08-11T09:14:20.746Z,2023-08-08T10:59:18.775Z,,,json,,Transport / Mobility,Traffic counts National Monitoring Framework Cycling Scotland,OGL3,"""All-mode traffic data from 48-hour surveys across Scotland - all data from 2017 to 2023"""
National Monitoring Framework - all-mode traffic survey results 2017 to 2023 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/b9fdd462-1f45-4252-aedc-fbc596abcd90,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=55a658bb-15eb-4d61-99a0-bd2703185924,National Monitoring Framework - all-mode traffic survey results 2017 to 2023 - Cycling Scotland.csv,2021-08-11T09:14:20.746Z,2023-08-08T10:59:18.775Z,,,csv,,Transport / Mobility,Traffic counts National Monitoring Framework Cycling Scotland,OGL3,"""All-mode traffic data from 48-hour surveys across Scotland - all data from 2017 to 2023"""
National Monitoring Framework - all-mode traffic survey results 2017 to 2023 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/b9fdd462-1f45-4252-aedc-fbc596abcd90,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=8fd87d6a-8a2c-49ee-906a-000b36699abd,National Monitoring Framework - all-mode traffic survey results 2017 to 2023 - Cycling Scotland.xml,2021-08-11T09:14:20.746Z,2023-08-08T10:59:18.775Z,,,xml,,Transport / Mobility,Traffic counts National Monitoring Framework Cycling Scotland,OGL3,"""All-mode traffic data from 48-hour surveys across Scotland - all data from 2017 to 2023"""
Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2021/22 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/97dce079-9615-47e6-b476-8ca96cd85424,https://api.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/9c481129-40fe-4df6-8d1e-cab7eded94a0/1/urql,API,2023-08-07T14:46:33.277Z,2023-11-21T18:03:56.220Z,,,json,,Transport / Mobility,Bikeability Scotland Schools Children Cycling Cycling Scotland,OGL3,"""Schools in Scotland which delivered Bikeability Scotland training in 2021/22. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood"""
Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2021/22 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/97dce079-9615-47e6-b476-8ca96cd85424,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=e5ca48d0-e852-4bb6-bbf5-ed3eff354a64,Schools delivering Level 1 and-or Level 2 in 2021-22.xlsx.csv,2023-08-07T14:46:33.277Z,2023-11-21T18:03:56.220Z,,,csv,,Transport / Mobility,Bikeability Scotland Schools Children Cycling Cycling Scotland,OGL3,"""Schools in Scotland which delivered Bikeability Scotland training in 2021/22. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood"""
Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2021/22 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/97dce079-9615-47e6-b476-8ca96cd85424,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=2a53228e-3db4-452e-b74e-9bbc43fb37c2,Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2021/22 - Cycling Scotland.xml,2023-08-07T14:46:33.277Z,2023-11-21T18:03:56.220Z,,,xml,,Transport / Mobility,Bikeability Scotland Schools Children Cycling Cycling Scotland,OGL3,"""Schools in Scotland which delivered Bikeability Scotland training in 2021/22. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood"""
Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2016/17 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/84b8b2e7-8e18-4f36-822d-85fbf59c8d76,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=aade7d6a-8a66-4d65-b01f-999bc2727795,Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2016/17 - Cycling Scotland.json,2018-10-05T11:13:06.948Z,2021-10-13T12:32:19.815Z,,,json,,Transport / Mobility,Active Travel Cycling Schools Transport Bikeability Scotland Children Cycling Scotland,OGL3,"""Schools in Scotland which delivered Bikeability Scotland training in 2016/17. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood."""
Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2016/17 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/84b8b2e7-8e18-4f36-822d-85fbf59c8d76,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=39f733f5-e2a7-456b-85a3-be5604e9dd04,Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2016/17 - Cycling Scotland.csv,2018-10-05T11:13:06.948Z,2021-10-13T12:32:19.815Z,,,csv,,Transport / Mobility,Active Travel Cycling Schools Transport Bikeability Scotland Children Cycling Scotland,OGL3,"""Schools in Scotland which delivered Bikeability Scotland training in 2016/17. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood."""
Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2016/17 - Cycling Scotland,Cycling Scotland,https://usmart.io/org/cyclingscotland/discovery/discovery-view-detail/84b8b2e7-8e18-4f36-822d-85fbf59c8d76,https://data.usmart.io/org/d1b773fa-d2bd-4830-b399-ecfd18e832f3/resource?resourceGUID=8c903843-448a-46df-9321-2d6f934d0272,Bikeability Scotland - Schools delivering Level 1 and/or Level 2 - 2016/17 - Cycling Scotland.xml,2018-10-05T11:13:06.948Z,2021-10-13T12:32:19.815Z,,,xml,,Transport / Mobility,Active Travel Cycling Schools Transport Bikeability Scotland Children Cycling Scotland,OGL3,"""Schools in Scotland which delivered Bikeability Scotland training in 2016/17. Bikeability Scotland is a cycle training programme designed to give children the skills and confidence they need both to cycle safely on the roads, and to encourage them to carry on cycling into adulthood."""
